context,prefix,namespace,status
prefixcc,opensearch,http://a9.com/-/spec/opensearch/1.1/,canonical
prefixcc,bibtex,http://purl.org/net/nknouf/ns/bibtex#,canonical
prefixcc,climb,http://climb.dataincubator.org/vocabs/climb/,canonical
prefixcc,doclist,http://www.junkwork.net/xml/DocumentList#,canonical
prefixcc,greg,http://kasei.us/about/foaf.xrdf#,canonical
prefixcc,game,http://data.totl.net/game/,canonical
prefixcc,contact,http://www.w3.org/2000/10/swap/pim/contact#,namespace_alias
prefixcc,rei,http://www.w3.org/2004/06/rei#,canonical
prefixcc,conv,http://purl.org/twc/vocab/conversion/,canonical
prefixcc,spc,http://purl.org/ontomedia/core/space#,canonical
prefixcc,rov,http://www.w3.org/ns/regorg#,canonical
prefixcc,phil,http://philosurfical.open.ac.uk/ontology/philosurfical.owl#,canonical
prefixcc,omp,http://purl.org/ontomedia/ext/common/profession#,canonical
prefixcc,bio2rdf,http://bio2rdf.org/,canonical
prefixcc,string,http://www.w3.org/2000/10/swap/string#,canonical
prefixcc,xhe,http://buzzword.org.uk/rdf/xhtml-elements#,canonical
prefixcc,cordis,http://cordis.europa.eu/projects/,canonical
prefixcc,omc,http://purl.org/ontomedia/ext/common/bestiary#,canonical
prefixcc,dwc,http://rs.tdwg.org/dwc/terms/,canonical
prefixcc,taxo,http://purl.org/rss/1.0/modules/taxonomy/,canonical
prefixcc,rdrel,http://rdvocab.info/RDARelationshipsWEMI/,canonical
prefixcc,powder,http://www.w3.org/2007/05/powder#,canonical
prefixcc,obj,http://www.openrdf.org/rdf/2009/object#,canonical
prefixcc,compass,http://purl.org/net/compass#,canonical
prefixcc,frir,http://purl.org/twc/ontology/frir.owl#,canonical
prefixcc,custom,http://www.openrdf.org/config/sail/custom#,canonical
prefixcc,lfm,http://purl.org/ontology/last-fm/,canonical
prefixcc,ngeo,http://geovocab.org/geometry#,canonical
prefixcc,omm,http://purl.org/ontomedia/core/media#,canonical
prefixcc,name,http://example.org/name#,canonical
prefixcc,interval,http://reference.data.gov.uk/def/intervals/,canonical
prefixcc,lom,http://ltsc.ieee.org/rdf/lomv1p0/lom#,canonical
prefixcc,vivo,http://vivoweb.org/ontology/core#,namespace_alias
